iata,icao,name,country,municipality,lat,lon,elevation
DUB,EIDW,Dublin Airport,IE,Dublin,53.428713,-6.262121,242
DUD,NZDN,Dunedin International Airport,NZ,Dunedin,-45.929017,170.197758,4
DUE,FNDU,Dundo Airport,AO,Chitato,-7.400889873504639,20.818500518798828,2451
DUG,KDUG,Bisbee Douglas International Airport,US,Douglas Bisbee,31.464139,-109.60456,4154
DUJ,KDUJ,DuBois Regional Airport,US,Dubois,41.17829895,-78.8986969,1817
DUM,WIBD,Pinang Kampai Airport,ID,Dumai,1.609026,101.433493,55
DUR,FALE,King Shaka International Airport,ZA,Durban,-29.6144444444,31.1197222222,295
DUS,EDDL,Düsseldorf Airport,DE,Düsseldorf,51.289501,6.76678,147
DUT,PADU,Tom Madsen (Dutch Harbor) Airport,US,Unalaska,53.89881,-166.544996,22
DVL,KDVL,Devils Lake Regional Airport,US,Devils Lake,48.115454,-98.908796,1456
DVO,RPMD,Francisco Bangoy International Airport,PH,Davao,7.12552,125.646004,96
DWA,FWDW,Dwangwa Airport,MW,Dwangwa,-12.517527,34.131877,1605
DWB,FMNO,Soalala Airport,MG,Soalala,-16.10169,45.358837,141
DWC,OMDW,Al Maktoum International Airport,AE,Dubai(Jebel Ali),24.896171,55.16235,114
DWD,OEDM,Dawadmi Domestic Airport,SA,Dawadmi,24.4499,44.121201,3026
DXB,OMDB,Dubai International Airport,AE,Dubai,25.24979,55.370992,62
DXJ,ZGXX,Xiangxi Biancheng Airport,CN,Xiangxi,28.4972,109.5218,
DXN,VIND,Noida International Airport,IN,Gautam Buddha Nagar,28.179868,77.611843,644
DXR,KDXR,Danbury Municipal Airport,US,Danbury,41.371656,-73.482227,458
DYA,YDYS,Dysart Airport,AU,,-22.6222,148.363998,670
DYG,ZGDY,Zhangjiajie Hehua International Airport,CN,Zhangjiajie (Yongding),29.104749,110.442786,8530
DYR,UHMA,Ugolny Yuri Ryktheu Airport,RU,Anadyr,64.734902,177.740997,194
DYS,KDYS,Dyess Air Force Base,US,Abilene,32.420799,-99.854599,1789
DYU,UTDD,Dushanbe International Airport,TJ,Dushanbe,38.543746,68.822977,2575
DZA,FMCZ,Dzaoudzi Pamandzi International Airport,YT,Dzaoudzi,-12.809319,45.281815,23
DZH,ZUDA,Dazhou Jinya Airport,CN,Dazhou (Dachuan),31.048815,107.435646,1342
DZN,UAKD,Zhezkazgan National Airport,KZ,Zhezkazgan,47.708953,67.738094,1250
DZO,SUDU,Santa Bernardina International Airport,UY,Durazno,-33.358898,-56.499199,305
EAA,PAEG,Eagle Airport,US,Eagle,64.778003,-141.150455,908
EAM,OENG,Najran Domestic Airport,SA,Najran,17.611401,44.419201,3982
EAR,KEAR,Kearney Regional Airport,US,Kearney,40.727001,-99.006798,2131
EAS,LESO,San Sebastián Airport,ES,Hondarribia,43.356499,-1.79061,16
EAT,KEAT,Pangborn Memorial Airport,US,Wenatchee,47.398899,-120.207001,1249
EAU,KEAU,Chippewa Valley Regional Airport,US,Eau Claire,44.86579895019531,-91.48429870605469,913
EAX,SMEG,Eduard Alexander Gummels Airport,SR,Kwatta,5.863807,-55.189504,49
EBA,LIRJ,Marina di Campo Airport,IT,Campo nell'Elba (LI),42.760871,10.239811,31
EBB,HUEN,Entebbe International Airport,UG,Entebbe,0.042386,32.443501,3782
EBD,HSOB,El-Obeid Airport,SD,El-Obeid,13.1532,30.2327,1927
EBG,SKEB,El Bagre Airport,CO,El Bagre,7.59647,-74.8089,180
EBH,DAOY,El Bayadh Airport,DZ,El Bayadh,33.721667,1.0925,4493
EBJ,EKEB,Esbjerg Airport,DK,Esbjerg,55.525902,8.5534,97
EBL,ORER,Erbil International Airport,IQ,Arbil,36.236047,43.946615,1341
EBM,DTTR,El Borma Airport,TN,El Borma,31.7043,9.25462,827
EBU,LFMH,Saint-Étienne-Bouthéon Airport,FR,"Andrézieux-Bouthéon, Loire",45.5406,4.29639,1325
ECG,KECG,Elizabeth City Regional Airport & Coast Guard Air Station,US,Elizabeth City,36.260601,-76.174599,11
ECH,YECH,Echuca Airport,AU,,-36.15719985961914,144.76199340820312,323
ECN,LCEN,Ercan International Airport,CY,Tymbou (Kirklar),35.153064,33.507352,404
ECP,KECP,Northwest Florida Beaches International Airport,US,Panama City Beach,30.357106,-85.795414,69
EDF,PAED,Elmendorf Air Force Base,US,Anchorage,61.251709,-149.807097,212
EDI,EGPH,Edinburgh Airport,GB,"Ingliston, Edinburgh",55.950145,-3.372288,135
EDL,HKEL,Eldoret International Airport,KE,Eldoret,0.404458,35.238899,6941
EDM,LFRI,La Roche-sur-Yon Les Ajoncs Airport,FR,La Roche-sur-Yon,46.7019,-1.37863,299
EDO,LTFD,Balıkesir Koca Seyit Airport,TR,Edremit,39.552533,27.010192,50
EDR,YPMP,Pormpuraaw Airport,AU,Pormpuraaw,-14.896451,141.60908,10
EDW,KEDW,Edwards Air Force Base,US,Edwards,34.910781,-117.886391,2312
EEA,SNCP,Planalto Serrano Regional Airport,BR,Correia Pinto,-27.634128,-50.358253,2887
EED,KEED,Needles Airport,US,Needles,34.7663002014,-114.623001099,983
EEK,PAEE,Eek Airport,US,Eek,60.213173,-162.044048,12
EEN,KEEN,Dillant Hopkins Airport,US,Keene,42.898399,-72.270798,488
EES,HEBR,Berenice International Airport / Banas Cape Air Base,EG,Berenice Troglodytica,23.980437,35.460277,108
EFD,KEFD,Ellington Airport,US,Houston,29.607299804700002,-95.1587982178,32
EFL,LGKF,Kefallinia Airport,GR,Kefallinia Island,38.12009811401367,20.500499725341797,59
EGC,LFBE,Bergerac Dordogne-Périgord airport,FR,Bergerac,44.825298,0.518611,171
EGE,KEGE,Eagle County Regional Airport,US,Eagle,39.64260101,-106.9179993,6548
EGH,HEGR,El Jora Airport,EG,El Jora,31.078138,34.153131,331
EGI,KEGI,Duke Field,US,Crestview,30.65040016,-86.52290344,191
EGO,UUOB,Belgorod International Airport,RU,Belgorod,50.643798828125,36.5900993347168,735
EGS,BIEG,Egilsstaðir Airport,IS,Egilsstaðir,65.2833023071289,-14.401399612426758,76
EGX,PAII,Egegik Airport,US,Egegik,58.184386,-157.374873,92
EHL,SAVB,El Bolsón Airfield,AR,El Bolsón,-41.943199,-71.532303,1141
EHM,PAEH,Cape Newenham LRRS Airport,US,Cape Newenham,58.646400451699996,-162.06300354,541
EHU,ZHEC,Ezhou Huahu International Airport,CN,Ezhou,30.341178,115.03926,86
EIB,EDGE,Eisenach-Kindel Airport,DE,Hörselberg-Hainich,50.991604,10.47973,1112
EIE,UNII,Yeniseysk Airport,RU,Yeniseysk,58.474201,92.112503,253
EIK,RU-10077,Yeysk Airport,RU,Yeysk,46.68,38.21,60
EIL,PAEI,Eielson Air Force Base,US,Fairbanks,64.66570282,-147.102005,547
EIN,EHEH,Eindhoven Airport,NL,Eindhoven,51.4500999451,5.37452983856,74
EIS,TUPJ,Terrance B. Lettsome International Airport,VG,Beef Island,18.445492,-64.541707,15
EJA,SKEJ,Yariguíes Airport,CO,Barrancabermeja,7.02433,-73.8068,412
EJH,OEWJ,Al Wajh Domestic Airport,SA,Al Wajh,26.198601,36.476398,66
EJT,EJT,Enejit Airport,MH,Enejit Island,6.0404,171.9846,30
EKA,KEKA,Murray Field,US,Eureka,40.803398,-124.112999,7
EKB,UASB,Ekibastuz Airport,KZ,Ekibastuz,51.590999603271484,75.21499633789062,621
EKN,KEKN,Elkins-Randolph County Regional Airport,US,Elkins,38.889759,-79.857651,1987
EKO,KEKO,Elko Regional Airport,US,Elko,40.82490158081055,-115.79199981689453,5140
EKS,UHSK,Shakhtyorsk Airport,RU,Shakhtyorsk,49.1903,142.082993,50
EKT,ESSU,Eskilstuna Airport,SE,Eskilstuna,59.351101,16.708401,139
ELB,SKBC,Las Flores Airport,CO,El Banco,9.04554,-73.9749,111
ELC,YELD,Elcho Island Airport,AU,Elcho Island,-12.019399642899998,135.570999146,101
ELD,KELD,South Arkansas Regional Airport at Goodwin Field,US,El Dorado,33.221001,-92.813301,277
ELF,HSFS,El Fasher Airport,SD,El Fasher,13.614899635314941,25.324600219726562,2393
ELG,DAUE,El Golea Airport,DZ,El Menia,30.580732,2.861595,1306
ELH,MYEH,North Eleuthera Airport,BS,North Eleuthera,25.475823,-76.680784,13
ELI,PFEL,Elim Airport,US,Elim,64.6147,-162.272003,162
ELM,KELM,Elmira Corning Regional Airport,US,Elmira/Corning,42.1599006652832,-76.8916015625,954
ELP,KELP,El Paso International Airport,US,El Paso,31.809908,-106.375607,3959
ELQ,OEGS,Prince Naif bin Abdulaziz International Airport,SA,Qassim,26.302799,43.774399,2126
ELS,FAEL,King Phalo Airport,ZA,East London,-33.035599,27.825899,435
ELU,DAUO,Guemar Airport - مطار قمار بالوادي,DZ,Guemar,33.511398,6.77679,203
ELY,KELY,Ely Airport Yelland Field,US,Ely,39.29970169,-114.8420029,6259
EMA,EGNX,East Midlands Airport,GB,"Nottingham, Leicestershire",52.8311,-1.32806,306
EMD,YEML,Emerald Airport,AU,Emerald,-23.5674991608,148.179000854,624
EME,EDWE,Emden Airport,DE,Emden,53.391109,7.2275,3
EMK,PAEM,Emmonak Airport,US,Emmonak,62.78609848,-164.4909973,13
EML,LSME,Emmen Air Base,CH,Emmen,47.092444,8.305184,1400
ENA,PAEN,Kenai Municipal Airport,US,Kenai,60.570946,-151.245174,99
ENC,LFSN,Nancy-Essey Airport,FR,"Tomblaine, Meurthe-et-Moselle",48.692101,6.23046,751
END,KEND,Vance Air Force Base,US,Enid,36.339199,-97.916496,1307
ENE,WATE,H. Hasan Aroeboesman (Ende) Airport,ID,Ende,-8.849114,121.66101,49
ENF,EFET,Enontekio Airport,FI,Enontekio,68.362602233887,23.424299240112,1005
ENH,ZHES,Enshi Xujiaping Airport,CN,Enshi (Enshi),30.320299,109.485001,1605
ENI,RPEN,El Nido Airport,PH,El Nido,11.202399,119.416087,
